degrees,sin
0,0
1,0.841470985
2,0.909297427
3,0.141120008
4,-0.756802495
5,-0.958924275
6,-0.279415498
7,0.656986599
8,0.989358247
9,0.412118485
10,-0.544021111
11,-0.999990207
12,-0.536572918
13,0.420167037
14,0.990607356
15,0.65028784
16,-0.287903317
17,-0.961397492
18,-0.750987247
19,0.14987721
20,0.912945251
21,0.836655639
22,-0.008851309
23,-0.846220404
24,-0.905578362
25,-0.13235175
26,0.76255845
27,0.956375928
28,0.270905788
29,-0.663633884
30,-0.988031624
31,-0.404037645
32,0.551426681
33,0.99991186
34,0.529082686
35,-0.428182669
36,-0.991778853
37,-0.643538133
38,0.296368579
39,0.963795386
40,0.74511316
41,-0.158622669
42,-0.916521548
43,-0.831774743
44,0.017701925
45,0.850903525
46,0.901788348
47,0.123573123
48,-0.768254661
49,-0.953752653
50,-0.262374854
51,0.670229176
52,0.986627592
53,0.39592515
54,-0.558789049
55,-0.999755173
56,-0.521551002
57,0.436164755
58,0.992872648
59,0.636738007
60,-0.304810621
61,-0.96611777
62,-0.739180697
63,0.1673557
64,0.920026038
65,0.826828679
66,-0.026551154
67,-0.855519979
68,-0.897927681
69,-0.114784814
70,0.773890682
71,0.951054653
72,0.253823363
73,-0.676771957
74,-0.98514626
75,-0.387781635
76,0.566107637
77,0.999520159
78,0.513978456
79,-0.444112669
80,-0.993888654
81,-0.629887994
82,0.313228782
83,0.968364461
84,0.73319032
85,-0.17607562
86,-0.923458447
87,-0.821817837
88,0.035398303
89,0.860069406
90,0.893996664
91,0.105987512
92,-0.77946607
93,-0.948282141
94,-0.245251985
95,0.683261715
96,0.983587745
97,0.379607739
98,-0.573381872
99,-0.999206834
100,-0.506365641
101,0.452025787
102,0.994826791
103,0.622988631
104,-0.321622403
105,-0.970535284
106,-0.7271425
107,0.184781745
108,0.926818505
109,0.816742607
110,-0.044242678
111,-0.864551449
112,-0.889995604
113,-0.097181906
114,0.784980389
115,0.945435334
116,0.236661393
117,-0.689697941
118,-0.981952169
119,-0.371404101
120,0.580611184
121,0.998815225
122,0.498713154
123,-0.459903491
124,-0.995686987
125,-0.616040459
126,0.329990826
127,0.972630067
128,0.721037711
129,-0.193473392
130,-0.93010595
131,-0.811603387
132,0.053083587
133,0.868965756
134,0.885924816
135,0.088368686
136,-0.790433207
137,-0.942514455
138,-0.22805226
139,0.696080131
140,0.980239659
141,0.363171365
142,-0.587795007
143,-0.998345361
144,-0.491021594
145,0.467745162
146,0.996469173
147,0.609044022
148,-0.338333394
149,-0.974648648
150,-0.71487643
151,0.202149881
152,0.933320524
153,0.806400581
154,-0.061920337
155,-0.873311983
156,-0.881784619
157,-0.079548543
158,0.795824097
159,0.939519732
160,0.219425258
161,-0.702407786
162,-0.978450351
163,-0.354910176
164,0.594932778
165,0.997797279
166,0.483291564
167,-0.475550187
168,-0.997173289
169,-0.601999868
170,0.346649455
171,0.976590868
172,0.70865914
173,-0.210810533
174,-0.936461974
175,-0.801134595
176,0.070752236
177,0.877589788
178,0.877575336
179,0.070722167
180,-0.801152636
181,-0.9364514
182,-0.210781066
183,0.708680408
184,0.976584383
185,0.34662118
186,-0.602023938
187,-0.997171023
188,-0.475523669
189,0.483317954
190,0.997799279
191,0.594908548
192,-0.354938358
193,-0.978456575
194,-0.702386329
195,0.219454668
196,0.939530056
197,0.795805843
198,-0.079578592
199,-0.881798836
200,-0.873297297
201,-0.061890251
202,0.806418407
203,0.9333097
204,0.202120359
205,-0.714897508
206,-0.974641903
207,-0.338305028
208,0.60906793
209,0.996466642
210,0.467718518
211,-0.491047854
212,-0.998347094
213,-0.58777062
214,0.363199451
215,0.980245622
216,0.696058488
217,-0.228081609
218,-0.942524527
219,-0.790414741
220,0.088398712
221,0.885938798
222,0.868950838
223,0.053053485
224,-0.811620997
225,-0.930094878
226,-0.193443817
227,0.721058597
228,0.972623062
229,0.32996237
230,-0.616064204
231,-0.99568419
232,-0.459876723
233,0.498739282
234,0.998816691
235,0.580586641
236,-0.371432089
237,-0.98195787
238,-0.689676113
239,0.236690681
240,0.945445155
241,0.784961713
242,-0.097211908
243,-0.890009349
244,-0.864536299
245,-0.044212563
246,0.81676
247,0.926807186
248,0.184752119
249,-0.727163193
250,-0.97052802
251,-0.32159386
252,0.623012211
253,0.994823729
254,0.451998898
255,-0.506391635
256,-0.999208034
257,-0.573357175
258,0.379635627
259,0.983593184
260,0.683239704
261,-0.245281209
262,-0.94829171
263,-0.779447185
264,0.106017486
265,0.89401017
266,0.860054026
267,0.035368177
268,-0.821835011
269,-0.92344688
270,-0.176045946
271,0.733210819
272,0.968356938
273,0.313200155
274,-0.629911407
275,-0.993885326
276,-0.44408566
277,0.514004314
278,0.999521092
279,0.566082788
280,-0.387809421
281,-0.985151436
282,-0.676749765
283,0.25385252
284,0.951063968
285,0.77387159
286,-0.114814759
287,-0.897940948
288,-0.855504371
289,-0.02652102
290,0.826845634
291,0.920014225
292,0.167325981
293,-0.739200999
294,-0.966109989
295,-0.304781911
296,0.636761251
297,0.992869055
298,0.436137629
299,-0.521576722
300,-0.99975584
301,-0.55876405
302,0.395952831
303,0.986632505
304,0.670206804
305,-0.262403942
306,-0.953761713
307,-0.768235364
308,0.123603036
309,0.901801375
310,0.850887689
311,0.017671785
312,-0.831791476
313,-0.91650949
314,-0.158592906
315,0.745133265
316,0.963787348
317,0.296339788
318,-0.643561206
319,-0.991774996
320,-0.428155428
321,0.529108265
322,0.99991226
323,0.551401534
324,-0.404065219
